category,benchmark,tool,source_edge_count,static_edge_count,covered_count,missed_count,coverage,tool_output_present
ImplicitFlows,ImplicitFlow2,FlowDroid,3,11,3,0,1.0,yes
ImplicitFlows,ImplicitFlow2,GATOR,3,2980,3,0,1.0,yes
ImplicitFlows,ImplicitFlow2,MAMADROID,3,10,3,0,1.0,yes
ImplicitFlows,ImplicitFlow2,NATIDROID,3,5229,3,0,1.0,yes
ImplicitFlows,ImplicitFlow3,Androguard,15,2351,15,0,1.0,yes
ImplicitFlows,ImplicitFlow3,FlowDroid,15,20,12,3,0.8,yes
ImplicitFlows,ImplicitFlow3,GATOR,15,2986,14,1,0.933333,yes
ImplicitFlows,ImplicitFlow3,MAMADROID,15,19,12,3,0.8,yes
ImplicitFlows,ImplicitFlow3,NATIDROID,15,5235,14,1,0.933333,yes
ImplicitFlows,ImplicitFlow4,Androguard,10,2346,10,0,1.0,yes
ImplicitFlows,ImplicitFlow4,FlowDroid,10,15,7,3,0.7,yes
