tool,proxy,bucket,signature,all_tags
GATOR,privacy,location_and_sensors,<android.hardware.camera2.params.DynamicRangeProfiles: java.util.Set getSupportedProfiles()>,camera
GATOR,privacy,web_and_exfil_primitives,<android.webkit.WebSettings: void setTextZoom(int)>,webview
GATOR,privacy,web_and_exfil_primitives,<android.webkit.WebSettings: void setForceDark(int)>,webview
GATOR,privacy,web_and_exfil_primitives,<android.webkit.WebResourceRequest: boolean hasGesture()>,webview
GATOR,privacy,web_and_exfil_primitives,<android.webkit.WebResourceRequest: boolean isRedirect()>,webview
GATOR,privacy,web_and_exfil_primitives,<android.webkit.WebSettings: void setMixedContentMode(int)>,webview
GATOR,privacy,web_and_exfil_primitives,<android.webkit.WebResourceRequest: android.net.Uri getUrl()>,webview
GATOR,privacy,web_and_exfil_primitives,<android.webkit.WebResourceRequest: boolean isForMainFrame()>,webview
GATOR,privacy,web_and_exfil_primitives,<android.webkit.WebResourceRequest: java.lang.String getMethod()>,webview
GATOR,privacy,web_and_exfil_primitives,<android.webkit.WebSettings: void setAllowContentAccess(boolean)>,webview
GATOR,privacy,web_and_exfil_primitives,<android.webkit.WebSettings: void setOffscreenPreRaster(boolean)>,webview
GATOR,privacy,web_and_exfil_primitives,<android.webkit.WebSettings: void setDisplayZoomControls(boolean)>,webview
GATOR,privacy,web_and_exfil_primitives,<android.webkit.WebSettings: void setSafeBrowsingEnabled(boolean)>,webview
GATOR,privacy,web_and_exfil_primitives,<android.webkit.ValueCallback: void onReceiveValue(java.lang.Object)>,callback|webview
GATOR,privacy,web_and_exfil_primitives,<android.webkit.WebSettings: void setEnableSmoothTransition(boolean)>,webview
GATOR,privacy,web_and_exfil_primitives,<android.webkit.WebResourceRequest: java.util.Map getRequestHeaders()>,webview
GATOR,malware_evasion,reflection_and_dynamic_loading,<java.lang.Runtime: void halt(int)>,reflection
GATOR,malware_evasion,reflection_and_dynamic_loading,<java.lang.Runtime: void runFinalization()>,reflection
GATOR,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.Member: int getModifiers()>,reflection
GATOR,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.Member: boolean isSynthetic()>,reflection
